session_date,location,stakes,hand_number,num_players,hero_position,hero_hole_cards,effective_stack_bb,preflop_actions,flop_cards,flop_actions,turn_card,turn_actions,river_card,river_actions,pot_size_bb,result_bb,went_to_showdown,notes
2026-07-12,Andover (home game),0.10/0.20,1,6,HJ,As Js,,UTG:call>HJ:raise3>CO:call>BTN:call>SB:call>BB:call,Kh Ad Qc,SB:check>BB:check>UTG:check>HJ:bet2.5>CO:fold>BTN:fold>SB:fold>BB:call>UTG:call,6d,BB:check>UTG:check>HJ:bet2.5>BB:call>UTG:fold,Qh,BB:bet3>HJ:raise10>BB:call,50.5,32.5,1,"PLACEHOLDER DATE, update. LJ mapped to UTG, B mapped to BTN. BTN's exact flop fold not explicitly stated, assumed. Hero won two pair (Aces/Queens) vs villain's pocket 10s. Stack size not given."
2026-07-12,Andover (home game),0.10/0.20,2,6,UTG,Ac 4c,,UTG:raise3>HJ:call>CO:call>BTN:call>SB:call>BB:fold,4s Tc Ah,UTG:check>HJ:check>CO:check>BTN:check>SB:check,9h,UTG:bet2>HJ:fold>CO:call>BTN:call>SB:raise2.5>UTG:call>CO:call>BTN:call,Ad,SB:fold>UTG:bet2.5>CO:raise7.5>BTN:call>UTG:raise20>CO:raise44.5>BTN:fold>UTG:call,140,45,1,"PLACEHOLDER DATE. LJ mapped to UTG, B mapped to BTN. Dollar amount ($8.90 CO shove) converted to bb at 0.20/bb. HJ's fold on the turn not explicitly stated, assumed. Pot/result are rough estimates, exact all-in side pot math not fully reconciled. Chopped full house (Aces full of Fours) per your description, but result_bb assumes hero won the full pot; if this was a chop, halve it."
2026-07-12,Andover (home game),0.10/0.20,3,5,BB,Ac Ah,,UTG:call>CO:call>BTN:fold>SB:raise2.5>BB:raise3>UTG:call>CO:call>SB:call,Jc 5h Ad,SB:bet1>BB:raise3>UTG:call>CO:fold>SB:call,4s,BB:bet2.5>UTG:fold>SB:call,3c,SB:check>BB:bet10>SB:fold,31.5,18,0,"PLACEHOLDER DATE. Pot/result approximate, hero's river bet was uncalled so returned."
2026-07-12,Andover (home game),0.10/0.20,4,5,UTG,As Kd,,UTG:raise3>CO:call>BTN:call>SB:call>BB:fold,4h 5h 7h,UTG:bet5>CO:call>BTN:call>SB:fold,7s,UTG:bet6.5>CO:call>BTN:call,2s,UTG:check>CO:check>BTN:bet30>UTG:fold>CO:call,,-14.5,0,"PLACEHOLDER DATE. $1.30 turn bet converted to 6.5bb at 0.20/bb. Hero folded the river, hand was actually decided between CO and Button (CO won with a boat vs Button's trips), not relevant to hero's own result."
2026-07-12,Andover (home game),0.10/0.20,5,6,UTG+1,Qs 9s,,UTG:raise1>UTG+1:raise4>UTG:call>SB:call,Jd Ah 4d,SB:bet5>UTG:fold>UTG+1:fold,,,,,,-4,0,"PLACEHOLDER DATE. Player count and the 2 preflop callers' exact identities not stated, guessed as UTG and SB based on who appears on the flop. 'Biggest stack' note about hero omitted from a formal column, no column for it."
2026-07-12,Andover (home game),0.10/0.20,6,6,CO,Kh Ks,,UTG:raise3.5>HJ:call>MP:call>CO:raise7.5>HJ:fold>MP:call,9c 3c 4d,MP:check>CO:bet4>MP:fold,,,,,,14.5,0,"PLACEHOLDER DATE. UTG was all-in preflop for 3.5bb and never folds, so technically the hand should run to a full board and showdown against hero once MP folded the flop. No turn/river or final result was given for UTG's hand, so this is incomplete, left blank. Please confirm what happened after MP folded."
2026-07-12,Andover (home game),0.10/0.20,7,6,UTG,Ac Qd,,UTG:raise3>MP:call>BB:call,Th 7h 2c,UTG:bet3.5>MP:fold>BB:fold,,,,,,6,0,"PLACEHOLDER DATE. Player count and exact 2 preflop callers not stated, guessed as MP and BB since they're named folding the flop."
2026-07-12,Andover (home game),0.10/0.20,8,6,UTG,3d 2c,,UTG:raise2>BB:call,5s 4h As,UTG:check>BB:check,2d,UTG:bet2>BB:fold,,,,2,0,"PLACEHOLDER DATE. Single preflop caller's position not stated, guessed as BB. Hero's turn bet size was never stated (only 'villain folds' given), guessed at 2bb to match the preflop raise size, this one's a real guess, worth fixing if you remember."
2026-07-12,Andover (home game),0.10/0.20,9,6,UTG,2d 5d,,UTG:raise2>UTG+1:call>HJ:call>SB:call,Ts Kd Jd,SB:bet2>UTG+1:fold>HJ:call>UTG:call,Td,SB:bet2.5>HJ:fold>UTG:raise3.5>SB:call,Kh,SB:bet3>UTG:call,27,16.5,1,"Date confirmed 2026-07-12. Hero won this pot, pot/result are approximate estimates from the bet sizes given, not exactly reconciled."
2026-07-12,Andover (home game),0.10/0.20,10,6,UTG,Qc Jc,,UTG:raise2>SB:fold>UTG+1:fold>CO:call>BB:call,9s Tc 2h,BB:bet2>UTG:call>CO:call,6d,BB:bet1.5>UTG:call>CO:call,4c,BB:check>UTG:bet15>BB:fold>CO:fold,,11,0,"PLACEHOLDER DATE. Hero's preflop raise size wasn't stated, guessed at 2bb. Second preflop caller (besides BB) guessed as CO."
2026-07-12,Andover (home game),0.10/0.20,11,6,BB,Ks Jh,,UTG:raise30>UTG+1:fold>HJ:fold>CO:fold>BTN:fold>SB:fold>BB:call,Qs Ah 6d,,7c,,4d,,,-30,1,"PLACEHOLDER DATE. UTG's all-in shove treated as a preflop raise per format convention. Folds from other positions assumed, only UTG's shove and hero's call were explicitly stated. Hero's King-high lost to villain's pocket 9s (no pair for hero on this board). effective_stack_bb left blank; source data said '30 or more (exact unknown)', not a parseable number."
