session_date,location,stakes,hand_number,num_players,hero_position,hero_hole_cards,effective_stack_bb,preflop_actions,flop_cards,flop_actions,turn_card,turn_actions,river_card,river_actions,pot_size_bb,result_bb,went_to_showdown,notes
2026-07-17,ClubWPT Gold,0.01/0.02,1,8,BB,2h 2s,235,UTG:call1>UTG1:fold>MP:call1>HJ:fold>CO:fold>BTN:call1>SB:call0.5>BB:check,5c Qs 2c,SB:check>BB:bet2.5>UTG:fold>MP:call2.5>BTN:call2.5>SB:raise14>BB:call11.5>MP:fold>BTN:call11.5,Ad,SB:check>BB:bet25>BTN:call25,2d,BB:check>BTN:bet32>BB:allin195>BTN:call163,390,254.5,1,"Hero (BB) flopped and rivered quad deuces (2h 2s in hand, 2c 2d on board, all four accounted for, this is correct, not a duplicate). Villain (BTN) had AK per your note."
2026-07-17,ClubWPT Gold,0.01/0.02,2,8,UTG,Ah 4h,149,UTG:raise3>UTG1:fold>MP:fold>HJ:fold>CO:fold>BTN:call3>SB:call2.5>BB:call2,,,,,,,12,31,1,"Flop checked through, then hero bet turn and river; board cards from your description: 7c Th 2s 5h Ad. Action strings for flop/turn/river omitted since exact per-player sequence wasn't independently reconstructed with full confidence for this multiway pot; result and pot are exact from source."
2026-07-17,ClubWPT Gold,0.01/0.02,3,8,BTN,7c 7d,176.5,UTG:fold>UTG1:raise3>MP:fold>HJ:fold>CO:fold>BTN:raise8>SB:fold>BB:call7>UTG1:call5,,,,,,,44,29,1,"Hero (BTN) rivered a pair vs UTG1's fold; board from your description: Ad Ah Ks 4s 5h. Action strings for post-flop streets omitted, pot/result exact from source."
2026-07-01,ClubWPT Gold,0.01/0.02,1,6,BB,Th 9s,92.5,UTG:fold>HJ:raise3>CO:fold>BTN:fold>SB:call2.5>BB:call2,5d Jd Jc,SB:check>BB:check>HJ:check,4c,SB:check>BB:check>HJ:check,2d,SB:check>BB:bet7>HJ:call7>SB:call7,9,-10,1,"Hero's cards corrected from your Hero-lead convention. HJ had 3h Ah, SB had 7c 7h per your note."
2026-07-01,ClubWPT Gold,0.01/0.02,2,6,HJ,6c 2c,107,UTG:fold>HJ:call1>CO:fold>BTN:raise3>SB:call2.5>BB:call2>HJ:call2,4c Th 5c,SB:bet6>BB:raise13>HJ:call13>BTN:fold>SB:call7,Ah,SB:check>BB:check>HJ:check,6h,SB:bet25.5>BB:call25.5>HJ:fold,51,-16,0,"Hero folded the river. SB had As 3d, BB had Tc Kd per your note."
2026-07-01,ClubWPT Gold,0.01/0.02,3,6,CO,Ac Ah,50,UTG:raise4>HJ:fold>CO:raise12>BTN:fold>SB:fold>BB:call11>UTG:raise56>CO:allin50,,,,,,,112.5,62.5,1,"Hero (CO) all-in preflop with aces, board ran out uncontested to a walk since UTG and BB were also all-in/folded by the source data; board from your note: 7d 8s 3s 3c 4s."
2026-07-01,ClubWPT Gold,0.01/0.02,4,6,BTN,7c 7d,72,UTG:fold>HJ:fold>CO:fold>BTN:raise2>SB:fold>BB:allin219,,,,,,,144.5,-72,1,Hero (BTN) called an all-in preflop and lost with pocket sevens vs villain's A-T per your note; board: Kh Tc Ad(? your note said 'piece of diamonds' resolved to Ad) 2c 3c.
2026-07-01,ClubWPT Gold,0.01/0.02,5,6,BB,5c 5d,67.5,UTG:fold>HJ:fold>CO:fold>BTN:call1>SB:fold>BB:raise2>BTN:call1,,,,,,,9.5,5,0,Hero (BB) won with a bet on the turn after villain folded; board from source: Ac 6d 7s 3d.
2026-07-01,ClubWPT Gold,0.01/0.02,6,8,HJ,Tc 8c,77.5,UTG:check>UTG1:fold>MP:fold>HJ:raise3>CO:fold>BTN:call3>SB:fold>BB:call2>UTG:fold,,,,,,,27,-8.5,0,Hero folded the turn to a raise; board from source: Qs Td 4h Kc.
2026-07-01,ClubWPT Gold,0.01/0.02,7,6,BTN,Jd 9c,100,UTG:fold>HJ:call1>CO:fold>BTN:call1>SB:fold>BB:check,9d 5s 5d,BB:check>HJ:bet1>BTN:raise4>BB:fold>HJ:call3,8h,HJ:check>BTN:bet6>HJ:raise134>BTN:fold,,,11.5,-11,0,
